Tutor Name, Course Name, Timeslot
Tutor1,Course6,20
Tutor1,Course6,21
Tutor1,Course6,22
Tutor1,Course6,32
Tutor1,Course6,33
Tutor1,Course6,34
Tutor1,Course12,83
Tutor1,Course12,84
Tutor1,Course12,85
Tutor1,Course12,86
Tutor1,Course34,89
Tutor1,Course34,90
Tutor1,Course49,39
Tutor1,Course49,40
Tutor1,Course49,41
Tutor1,Course49,42
Tutor1,Course51,81
Tutor1,Course51,82
Tutor2,Course6,20
Tutor2,Course6,21
Tutor2,Course6,22
Tutor2,Course6,29
Tutor2,Course6,30
Tutor2,Course6,31
Tutor2,Course6,32
Tutor2,Course6,33
Tutor2,Course6,34
Tutor2,Course30,60
Tutor2,Course30,61
Tutor2,Course30,62
Tutor2,Course30,63
Tutor2,Course43,11
Tutor2,Course43,12
Tutor2,Course43,13
Tutor2,Course52,81
Tutor2,Course52,82
Tutor3,Course15,32
Tutor3,Course15,33
Tutor3,Course16,62
Tutor3,Course16,63
Tutor3,Course31,41
Tutor3,Course31,42
Tutor4,Course4,87
Tutor4,Course4,88
Tutor4,Course27,70
Tutor4,Course27,71
Tutor4,Course27,72
Tutor4,Course27,73
Tutor5,Course16,62
Tutor5,Course16,63
Tutor5,Course31,41
Tutor5,Course31,42
Tutor5,Course34,79
Tutor5,Course34,80
Tutor5,Course34,89
Tutor5,Course34,90
Tutor5,Course37,15
Tutor5,Course37,16
Tutor5,Course37,17
Tutor5,Course37,18
Tutor5,Course43,1
Tutor5,Course43,2
Tutor5,Course43,3
Tutor5,Course43,11
Tutor5,Course43,12
Tutor5,Course43,13
Tutor6,Course4,87
Tutor6,Course4,88
Tutor6,Course5,89
Tutor6,Course5,90
Tutor6,Course5,91
Tutor6,Course5,92
Tutor6,Course26,72
Tutor6,Course26,73
Tutor6,Course34,79
Tutor6,Course34,80
Tutor6,Course37,15
Tutor6,Course37,16
Tutor7,Course11,43
Tutor7,Course11,44
Tutor7,Course19,87
Tutor7,Course19,88
Tutor7,Course19,89
Tutor7,Course19,90
Tutor7,Course22,30
Tutor7,Course22,31
Tutor7,Course22,32
Tutor7,Course22,33
Tutor7,Course26,72
Tutor7,Course26,73
Tutor7,Course43,4
Tutor7,Course43,5
Tutor7,Course43,6
Tutor7,Course43,11
Tutor7,Course43,12
Tutor7,Course43,13
Tutor8,Course11,39
Tutor8,Course11,40
Tutor8,Course20,72
Tutor8,Course20,73
Tutor8,Course23,74
Tutor8,Course23,75
Tutor9,Course1,83
Tutor9,Course1,84
Tutor9,Course21,9
Tutor9,Course21,10
Tutor9,Course36,58
Tutor9,Course36,59
Tutor10,Course8,77
Tutor10,Course8,78
Tutor10,Course8,79
Tutor10,Course8,80
Tutor10,Course8,85
Tutor10,Course8,86
Tutor10,Course8,87
Tutor10,Course8,88
Tutor10,Course16,64
Tutor10,Course16,65
Tutor10,Course23,74
Tutor10,Course23,75
Tutor10,Course26,72
Tutor10,Course26,73
Tutor10,Course49,39
Tutor10,Course49,40
Tutor10,Course49,41
Tutor10,Course49,42
Tutor11,Course6,26
Tutor11,Course6,27
Tutor11,Course6,28
Tutor11,Course6,29
Tutor11,Course6,30
Tutor11,Course6,31
Tutor11,Course23,74
Tutor11,Course23,75
Tutor11,Course31,32
Tutor11,Course31,33
Tutor11,Course31,34
Tutor11,Course31,35
Tutor11,Course37,15
Tutor11,Course37,16
Tutor11,Course51,70
Tutor11,Course51,71
Tutor11,Course51,81
Tutor11,Course51,82
Tutor12,Course11,41
Tutor12,Course11,42
Tutor12,Course11,43
Tutor12,Course11,44
Tutor12,Course21,7
Tutor12,Course21,8
Tutor12,Course38,39
Tutor12,Course38,40
Tutor12,Course43,4
Tutor12,Course43,5
Tutor12,Course43,6
Tutor12,Course43,11
Tutor12,Course43,12
Tutor12,Course43,13
Tutor12,Course51,70
Tutor12,Course51,71
Tutor12,Course51,72
Tutor12,Course51,73
Tutor13,Course11,39
Tutor13,Course11,40
Tutor13,Course22,43
Tutor13,Course22,44
Tutor13,Course22,45
Tutor13,Course22,46
Tutor13,Course29,62
Tutor13,Course29,63
Tutor13,Course37,15
Tutor13,Course37,16
Tutor13,Course37,17
Tutor13,Course37,18
Tutor13,Course52,70
Tutor13,Course52,71
Tutor13,Course52,72
Tutor13,Course52,73
Tutor14,Course7,62
Tutor14,Course7,63
Tutor14,Course8,77
Tutor14,Course8,78
Tutor14,Course8,79
Tutor14,Course8,80
Tutor14,Course11,43
Tutor14,Course11,44
Tutor14,Course36,58
Tutor14,Course36,59
Tutor14,Course49,39
Tutor14,Course49,40
Tutor14,Course49,41
Tutor14,Course49,42
Tutor15,Course6,20
Tutor15,Course6,21
Tutor15,Course6,22
Tutor15,Course6,23
Tutor15,Course6,24
Tutor15,Course6,25
Tutor15,Course24,47
Tutor15,Course24,48
Tutor15,Course30,60
Tutor15,Course30,61
Tutor15,Course30,62
Tutor15,Course30,63
Tutor15,Course48,58
Tutor15,Course48,59
Tutor15,Course55,49
Tutor15,Course55,50
Tutor15,Course55,51
Tutor15,Course55,52
Tutor16,Course15,32
Tutor16,Course15,33
Tutor16,Course55,49
Tutor16,Course55,50
Tutor16,Course55,51
Tutor16,Course55,52
Tutor17,Course6,29
Tutor17,Course6,30
Tutor17,Course6,31
Tutor17,Course6,32
Tutor17,Course6,33
Tutor17,Course6,34
Tutor17,Course9,13
Tutor17,Course9,14
Tutor17,Course11,43
Tutor17,Course11,44
Tutor17,Course11,45
Tutor17,Course11,46
Tutor17,Course21,7
Tutor17,Course21,8
Tutor17,Course21,9
Tutor17,Course21,10
Tutor17,Course38,39
Tutor17,Course38,40
Tutor18,Course6,26
Tutor18,Course6,27
Tutor18,Course6,28
Tutor18,Course21,7
Tutor18,Course21,8
Tutor18,Course21,9
Tutor18,Course21,10
Tutor18,Course22,30
Tutor18,Course22,31
Tutor18,Course22,32
Tutor18,Course22,33
Tutor18,Course43,14
Tutor18,Course43,15
Tutor18,Course43,16
Tutor18,Course51,70
Tutor18,Course51,71
Tutor18,Course51,72
Tutor18,Course51,73
Tutor19,Course29,62
Tutor19,Course29,63
Tutor19,Course46,83
Tutor19,Course46,84
Tutor19,Course48,60
Tutor19,Course48,61
Tutor20,Course18,83
Tutor20,Course18,84
Tutor20,Course19,87
Tutor20,Course19,88
Tutor20,Course19,89
Tutor20,Course19,90
Tutor20,Course20,66
Tutor20,Course20,67
Tutor20,Course20,72
Tutor20,Course20,73
Tutor20,Course21,7
Tutor20,Course21,8
Tutor20,Course21,9
Tutor20,Course21,10
Tutor20,Course33,28
Tutor20,Course33,29
Tutor20,Course33,30
Tutor20,Course33,31
Tutor21,Course6,20
Tutor21,Course6,21
Tutor21,Course6,22
Tutor21,Course6,29
Tutor21,Course6,30
Tutor21,Course6,31
Tutor21,Course20,66
Tutor21,Course20,67
Tutor21,Course26,72
Tutor21,Course26,73
Tutor21,Course32,51
Tutor21,Course32,52
Tutor21,Course32,68
Tutor21,Course32,69
Tutor21,Course52,70
Tutor21,Course52,71
Tutor21,Course52,81
Tutor21,Course52,82
Tutor22,Course19,30
Tutor22,Course19,31
Tutor22,Course19,32
Tutor22,Course19,33
Tutor22,Course25,68
Tutor22,Course25,69
Tutor23,Course5,85
Tutor23,Course5,86
Tutor23,Course5,87
Tutor23,Course5,88
Tutor23,Course11,39
Tutor23,Course11,40
Tutor23,Course11,41
Tutor23,Course11,42
Tutor23,Course11,45
Tutor23,Course11,46
Tutor23,Course16,64
Tutor23,Course16,65
Tutor23,Course34,79
Tutor23,Course34,80
Tutor23,Course54,47
Tutor23,Course54,48
Tutor23,Course54,49
Tutor23,Course54,50
Tutor24,Course6,32
Tutor24,Course6,33
Tutor24,Course6,34
Tutor24,Course7,62
Tutor24,Course7,63
Tutor24,Course8,77
Tutor24,Course8,78
Tutor24,Course8,79
Tutor24,Course8,80
Tutor24,Course8,85
Tutor24,Course8,86
Tutor24,Course8,87
Tutor24,Course8,88
Tutor24,Course43,4
Tutor24,Course43,5
Tutor24,Course43,6
Tutor24,Course45,1
Tutor24,Course45,2
Tutor25,Course6,20
Tutor25,Course6,21
Tutor25,Course6,22
Tutor25,Course6,23
Tutor25,Course6,24
Tutor25,Course6,25
Tutor25,Course34,79
Tutor25,Course34,80
Tutor25,Course34,89
Tutor25,Course34,90
Tutor25,Course43,1
Tutor25,Course43,2
Tutor25,Course43,3
Tutor25,Course43,11
Tutor25,Course43,12
Tutor25,Course43,13
Tutor25,Course51,70
Tutor25,Course51,71
Tutor26,Course6,26
Tutor26,Course6,27
Tutor26,Course6,28
Tutor26,Course6,32
Tutor26,Course6,33
Tutor26,Course6,34
Tutor26,Course20,66
Tutor26,Course20,67
Tutor26,Course20,72
Tutor26,Course20,73
Tutor26,Course29,62
Tutor26,Course29,63
Tutor26,Course32,70
Tutor26,Course32,71
Tutor26,Course37,15
Tutor26,Course37,16
Tutor26,Course37,17
Tutor26,Course37,18
Tutor27,Course6,23
Tutor27,Course6,24
Tutor27,Course6,25
Tutor27,Course11,41
Tutor27,Course11,42
Tutor27,Course11,43
Tutor27,Course11,44
Tutor27,Course19,30
Tutor27,Course19,31
Tutor27,Course19,32
Tutor27,Course19,33
Tutor27,Course30,60
Tutor27,Course30,61
Tutor27,Course30,62
Tutor27,Course30,63
Tutor27,Course43,4
Tutor27,Course43,5
Tutor27,Course43,6
Tutor28,Course22,30
Tutor28,Course22,31
Tutor28,Course22,32
Tutor28,Course22,33
Tutor28,Course56,68
Tutor28,Course56,69
Tutor29,Course8,77
Tutor29,Course8,78
Tutor29,Course8,79
Tutor29,Course8,80
Tutor29,Course8,85
Tutor29,Course8,86
Tutor29,Course8,87
Tutor29,Course8,88
Tutor29,Course19,30
Tutor29,Course19,31
Tutor29,Course19,32
Tutor29,Course19,33
Tutor29,Course26,72
Tutor29,Course26,73
Tutor29,Course42,24
Tutor29,Course42,25
Tutor29,Course42,26
Tutor29,Course42,27
Tutor30,Course4,87
Tutor30,Course4,88
Tutor30,Course9,15
Tutor30,Course9,16
Tutor30,Course50,62
Tutor30,Course50,63
Tutor31,Course8,77
Tutor31,Course8,78
Tutor31,Course8,79
Tutor31,Course8,80
Tutor31,Course8,85
Tutor31,Course8,86
Tutor31,Course8,87
Tutor31,Course8,88
Tutor31,Course11,45
Tutor31,Course11,46
Tutor31,Course23,74
Tutor31,Course23,75
Tutor31,Course29,62
Tutor31,Course29,63
Tutor31,Course49,39
Tutor31,Course49,40
Tutor31,Course49,41
Tutor31,Course49,42
Tutor32,Course6,23
Tutor32,Course6,24
Tutor32,Course6,25
Tutor32,Course11,43
Tutor32,Course11,44
Tutor32,Course11,45
Tutor32,Course11,46
Tutor32,Course21,7
Tutor32,Course21,8
Tutor32,Course38,39
Tutor32,Course38,40
Tutor32,Course43,14
Tutor32,Course43,15
Tutor32,Course43,16
Tutor33,Course6,32
Tutor33,Course6,33
Tutor33,Course6,34
Tutor33,Course11,39
Tutor33,Course11,40
Tutor33,Course11,41
Tutor33,Course11,42
Tutor33,Course17,28
Tutor33,Course17,29
Tutor33,Course22,43
Tutor33,Course22,44
Tutor33,Course22,45
Tutor33,Course22,46
Tutor33,Course23,74
Tutor33,Course23,75
Tutor34,Course18,83
Tutor34,Course18,84
Tutor34,Course38,39
Tutor34,Course38,40
Tutor34,Course45,1
Tutor34,Course45,2
Tutor35,Course26,72
Tutor35,Course26,73
Tutor35,Course29,62
Tutor35,Course29,63
Tutor35,Course39,5
Tutor35,Course39,6
Tutor36,Course6,26
Tutor36,Course6,27
Tutor36,Course6,28
Tutor36,Course20,66
Tutor36,Course20,67
Tutor36,Course20,72
Tutor36,Course20,73
Tutor36,Course21,7
Tutor36,Course21,8
Tutor36,Course21,9
Tutor36,Course21,10
Tutor36,Course22,30
Tutor36,Course22,31
Tutor36,Course22,32
Tutor36,Course22,33
Tutor36,Course43,11
Tutor36,Course43,12
Tutor36,Course43,13
Tutor37,Course1,83
Tutor37,Course1,84
Tutor37,Course4,87
Tutor37,Course4,88
Tutor37,Course34,89
Tutor37,Course34,90
Tutor38,Course3,22
Tutor38,Course3,23
Tutor38,Course5,85
Tutor38,Course5,86
Tutor38,Course5,87
Tutor38,Course5,88
Tutor38,Course5,89
Tutor38,Course5,90
Tutor38,Course5,91
Tutor38,Course5,92
Tutor38,Course26,72
Tutor38,Course26,73
Tutor38,Course50,62
Tutor38,Course50,63
Tutor39,Course9,15
Tutor39,Course9,16
Tutor39,Course11,43
Tutor39,Course11,44
Tutor39,Course11,45
Tutor39,Course11,46
Tutor39,Course16,64
Tutor39,Course16,65
Tutor39,Course29,62
Tutor39,Course29,63
Tutor39,Course49,39
Tutor39,Course49,40
Tutor39,Course49,41
Tutor39,Course49,42
Tutor40,Course31,39
Tutor40,Course31,40
Tutor40,Course54,47
Tutor40,Course54,48
Tutor40,Course54,49
Tutor40,Course54,50
Tutor41,Course6,26
Tutor41,Course6,27
Tutor41,Course6,28
Tutor41,Course6,29
Tutor41,Course6,30
Tutor41,Course6,31
Tutor41,Course7,62
Tutor41,Course7,63
Tutor41,Course12,81
Tutor41,Course12,82
Tutor41,Course37,15
Tutor41,Course37,16
Tutor41,Course37,17
Tutor41,Course37,18
Tutor41,Course49,39
Tutor41,Course49,40
Tutor41,Course49,41
Tutor41,Course49,42
Tutor42,Course11,39
Tutor42,Course11,40
Tutor42,Course11,41
Tutor42,Course11,42
Tutor42,Course12,81
Tutor42,Course12,82
Tutor42,Course12,83
Tutor42,Course12,84
Tutor42,Course20,72
Tutor42,Course20,73
Tutor42,Course22,30
Tutor42,Course22,31
Tutor42,Course22,32
Tutor42,Course22,33
Tutor42,Course30,60
Tutor42,Course30,61
Tutor42,Course30,62
Tutor42,Course30,63
Tutor43,Course10,72
Tutor43,Course10,73
Tutor43,Course23,74
Tutor43,Course23,75
Tutor43,Course24,47
Tutor43,Course24,48
Tutor44,Course4,87
Tutor44,Course4,88
Tutor44,Course16,62
Tutor44,Course16,63
Tutor44,Course16,64
Tutor44,Course16,65
Tutor44,Course20,72
Tutor44,Course20,73
Tutor44,Course23,74
Tutor44,Course23,75
Tutor44,Course48,58
Tutor44,Course48,59
Tutor45,Course8,85
Tutor45,Course8,86
Tutor45,Course8,87
Tutor45,Course8,88
Tutor45,Course13,91
Tutor45,Course13,92
Tutor46,Course19,87
Tutor46,Course19,88
Tutor46,Course19,89
Tutor46,Course19,90
Tutor46,Course20,66
Tutor46,Course20,67
Tutor46,Course20,72
Tutor46,Course20,73
Tutor46,Course21,7
Tutor46,Course21,8
Tutor46,Course23,74
Tutor46,Course23,75
Tutor46,Course43,1
Tutor46,Course43,2
Tutor46,Course43,3
Tutor46,Course43,4
Tutor46,Course43,5
Tutor46,Course43,6
Tutor47,Course21,9
Tutor47,Course21,10
Tutor47,Course38,39
Tutor47,Course38,40
Tutor47,Course51,72
Tutor47,Course51,73
Tutor48,Course16,62
Tutor48,Course16,63
Tutor48,Course16,64
Tutor48,Course16,65
Tutor48,Course22,43
Tutor48,Course22,44
Tutor48,Course22,45
Tutor48,Course22,46
Tutor48,Course26,72
Tutor48,Course26,73
Tutor48,Course40,32
Tutor48,Course40,33
Tutor48,Course40,34
Tutor48,Course40,35
Tutor48,Course49,39
Tutor48,Course49,40
Tutor48,Course49,41
Tutor48,Course49,42
Tutor49,Course6,23
Tutor49,Course6,24
Tutor49,Course6,25
Tutor49,Course6,29
Tutor49,Course6,30
Tutor49,Course6,31
Tutor49,Course10,72
Tutor49,Course10,73
Tutor49,Course16,62
Tutor49,Course16,63
Tutor49,Course16,64
Tutor49,Course16,65
Tutor49,Course43,11
Tutor49,Course43,12
Tutor49,Course43,13
Tutor49,Course43,14
Tutor49,Course43,15
Tutor49,Course43,16
Tutor50,Course8,77
Tutor50,Course8,78
Tutor50,Course8,79
Tutor50,Course8,80
Tutor50,Course11,39
Tutor50,Course11,40
Tutor50,Course11,41
Tutor50,Course11,42
Tutor50,Course19,30
Tutor50,Course19,31
Tutor50,Course19,32
Tutor50,Course19,33
Tutor50,Course19,87
Tutor50,Course19,88
Tutor50,Course19,89
Tutor50,Course19,90
Tutor50,Course52,72
Tutor50,Course52,73
Tutor51,Course9,13
Tutor51,Course9,14
Tutor51,Course9,15
Tutor51,Course9,16
Tutor51,Course52,81
Tutor51,Course52,82
Tutor52,Course11,43
Tutor52,Course11,44
Tutor52,Course11,45
Tutor52,Course11,46
Tutor52,Course30,60
Tutor52,Course30,61
Tutor52,Course30,62
Tutor52,Course30,63
Tutor52,Course31,32
Tutor52,Course31,33
Tutor52,Course37,15
Tutor52,Course37,16
Tutor52,Course37,17
Tutor52,Course37,18
Tutor52,Course49,39
Tutor52,Course49,40
Tutor52,Course49,41
Tutor52,Course49,42
Tutor53,Course14,41
Tutor53,Course14,42
Tutor53,Course17,28
Tutor53,Course17,29
Tutor53,Course19,87
Tutor53,Course19,88
Tutor53,Course19,89
Tutor53,Course19,90
Tutor53,Course22,30
Tutor53,Course22,31
Tutor53,Course22,32
Tutor53,Course22,33
Tutor53,Course22,43
Tutor53,Course22,44
Tutor53,Course22,45
Tutor53,Course22,46
Tutor53,Course29,62
Tutor53,Course29,63
Tutor54,Course2,41
Tutor54,Course2,42
Tutor54,Course6,20
Tutor54,Course6,21
Tutor54,Course6,22
Tutor54,Course6,26
Tutor54,Course6,27
Tutor54,Course6,28
Tutor54,Course22,30
Tutor54,Course22,31
Tutor54,Course22,32
Tutor54,Course22,33
Tutor54,Course22,43
Tutor54,Course22,44
Tutor54,Course22,45
Tutor54,Course22,46
Tutor54,Course52,81
Tutor54,Course52,82
Tutor55,Course6,20
Tutor55,Course6,21
Tutor55,Course6,22
Tutor55,Course6,29
Tutor55,Course6,30
Tutor55,Course6,31
Tutor55,Course20,66
Tutor55,Course20,67
Tutor55,Course20,72
Tutor55,Course20,73
Tutor55,Course35,79
Tutor55,Course35,80
Tutor55,Course40,32
Tutor55,Course40,33
Tutor55,Course40,34
Tutor55,Course40,35
Tutor55,Course44,70
Tutor55,Course44,71
Tutor56,Course8,85
Tutor56,Course8,86
Tutor56,Course8,87
Tutor56,Course8,88
Tutor56,Course12,83
Tutor56,Course12,84
Tutor57,Course4,87
Tutor57,Course4,88
Tutor57,Course5,89
Tutor57,Course5,90
